AmnSINE1 SINE/5S-Deu-L2
AmnSINE2 SINE/tRNA-Deu
B1F1 SINE/Alu
B1F2 SINE/Alu
B1F SINE/Alu
B1_Mm SINE/Alu
B1_Mur1 SINE/Alu
B1_Mur2 SINE/Alu
B1_Mur3 SINE/Alu
B1_Mur4 SINE/Alu
B1_Mus1 SINE/Alu
B1_Mus2 SINE/Alu
B2_Mm1a SINE/B2
B2_Mm1t SINE/B2
B2_Mm2 SINE/B2
B3A SINE/B2
B3 SINE/B2
B4A SINE/B4
B4 SINE/B4
BGLII_A LTR/ERVK
BGLII_B2 LTR/ERVK
BGLII_B LTR/ERVK
BGLII_C LTR/ERVK
BGLII LTR/ERVK
BGLII_Mur LTR/ERVK
BGLII_Mus LTR/ERVK
CR1-11_Crp LINE/CR1
CR1-12_AMi LINE/CR1
CR1-13_AMi LINE/CR1
CR1-16_AMi LINE/CR1
CR1-1_Amn LINE/CR1
CR1-3_Croc LINE/CR1
CR1-8_Crp LINE/CR1
CR1-L3A_Croc LINE/CR1
CR1-L3B_Croc LINE/CR1
CR1_Mam LINE/CR1
CRP1 SINE?/tRNA
ERV3-16A3_I-int LTR/ERVL
ERV3-16A3_LTR LTR/ERVL
ERVB2_1A-I_MM LTR/ERVK
ERVB2_1-I_MM LTR/ERVK
ERVB3_1-I_MM LTR/ERVK
ERVB3_1-LTR_MM LTR/ERVK
ERVB4_1B-I_MM LTR/ERVK
ERVB4_1B-LTR_MM LTR/ERVK
ERVB4_1C-LTR_Mm LTR/ERVK
ERVB4_1-I_MM LTR/ERVK
ERVB4_1-LTR_MM LTR/ERVK
ERVB4_2-I_MM LTR/ERVK
ERVB4_2-LTR_MM LTR/ERVK
ERVB4_3-I_MM LTR/ERVK
ERVB4_3-LTR_MM LTR/ERVK
ERVB5_1-I_MM LTR/ERVK
ERVB5_1-LTR_MM LTR/ERVK
ERVB5_2-LTR_MM LTR/ERVK
ERVB7_1-LTR_MM LTR/ERVK
ERVB7_2B-LTR_MM LTR/ERVK
ERVB7_2-LTR_MM LTR/ERVK
ERVB7_3-LTR_MM LTR/ERVK
ERVB7_4-LTR_MM LTR/ERVK
ERVL-B4-int LTR/ERVL
ERVL-E-int LTR/ERVL
ERVL-int LTR/ERVL
ETnERV2-int LTR/ERVK
ETnERV3-int LTR/ERVK
ETnERV-int LTR/ERVK
FAM SINE/Alu
HAL1b LINE/L1
HAL1 LINE/L1
HAL1M8 LINE/L1
HAL1ME LINE/L1
HERV16-int LTR/ERVL
HERVL32-int LTR/ERVL
HERVL40-int LTR/ERVL
HERVL74-int LTR/ERVL
HUERS-P3b-int LTR/ERV1
IAP1-MM_I-int LTR/ERVK
IAP1-MM_LTR LTR/ERVK
IAPA_MM-int LTR/ERVK
IAP-d-int LTR/ERVK
IAPEY2_LTR LTR/ERVK
IAPEY3C_LTR LTR/ERVK
IAPEY3-int LTR/ERVK
IAPEY3_LTR LTR/ERVK
IAPEY4_I-int LTR/ERVK
IAPEY4_LTR LTR/ERVK
IAPEY5_I-int LTR/ERVK
IAPEY5_LTR LTR/ERVK
