,id,M,A,stage,zscore,p.value,fdr
1,B1_Mus2,1.4121488916209,17.354837198059,8cell,285.420141764176,0,0
2,B1_Mm,1.82525426461914,16.472202295681,8cell,270.966580073264,0,0
3,RLTR45-int,3.53983593684737,13.7092048879317,8cell,201.156898765784,0,0
4,B1_Mus1,0.719773866771497,17.6975286442915,8cell,164.08319498353,0,0
5,PB1D9,1.37480465794966,15.8294734542472,8cell,163.154783314206,0,0
6,MT2_Mm,2.82328860922826,13.7018618513738,8cell,160.029782360671,0,0
7,L1Md_Gf,2.43345230275197,14.0962114672491,8cell,158.156432714539,0,0
8,B1_Mur4,1.04436830652934,16.4443552933505,8cell,153.542424831791,0,0
9,RLTR13C2,3.62548377030908,12.8371401468164,8cell,152.253632467296,0,0
10,B1_Mur3,1.24822614047433,15.7614722524195,8cell,144.669333442031,0,0
11,MERVL-int,1.33211741053442,15.4774150863397,8cell,139.868938841584,0,0
12,B1_Mur2,1.08996309974532,15.999757377001,8cell,137.249536164364,0,0
13,MT2B,1.51144414110112,14.9527070049038,8cell,132.246764087578,0,0
14,RLTR13B2,4.39956420436583,11.7432685073622,8cell,126.447095951273,0,0
15,MMETn-int,2.28983896212588,13.5751733964148,8cell,124.212451779921,0,0
16,B1_Mur1,0.912395822601713,16.2044914500925,8cell,123.381104263811,0,0
17,PB1D7,1.12200694945399,15.5520657755873,8cell,120.905723810799,0,0
18,RLTR4_MM-int,2.16184885294898,13.5115950130918,8cell,114.711805135016,0,0
19,B2_Mm1t,1.05161186209687,15.4467015142605,8cell,109.24383221382,0,0
20,L1Md_T,0.343463302697702,18.6266664015708,8cell,108.779173496117,0,0
21,ORR1A1-int,2.17308662482255,13.3397801029806,8cell,108.637410456408,0,0
22,ORR1A2-int,1.68536604348504,14.0287259820602,8cell,107.001201438869,0,0
23,B2_Mm1a,1.14003203783171,15.1189152290567,8cell,105.678126798874,0,0
24,RLTR13B1,2.7843688213807,12.5109505227033,8cell,104.426275409549,0,0
25,MMERVK9C_I-int,1.93999462460998,13.5070840754724,8cell,102.778861424332,0,0
26,RLTRETN_Mm,2.28048988591846,12.9091193949602,8cell,98.1904900019384,0,0
27,ERVB7_1-LTR_MM,2.93163529784284,12.1299158735166,8cell,96.3432277959892,0,0
28,MT2C_Mm,2.13369559580588,13.0262106216745,8cell,95.6769873420615,0,0
29,MT2B2,1.76409949102743,13.5550920781231,8cell,95.0294451841324,0,0
30,B1F1,0.961370373864781,15.1530966320063,8cell,90.1812889932808,0,0
31,B1F2,1.00220670708307,14.9337103071847,8cell,87.1133526676203,0,0
32,RLTR1B-int,1.98649903893482,12.9465271096143,8cell,86.6489078712162,0,0
33,B1F,0.598342376927144,16.2667003842217,8cell,82.6853801265025,0,0
34,RLTR45,1.85101770814684,13.0009703181483,8cell,82.2781251759691,0,0
35,ORR1A0-int,2.07315778479866,12.619447176742,8cell,80.7332811827156,0,0
36,RMER6A,1.25775583450325,14.0559051209026,8cell,80.6095321594637,0,0
37,RLTR9E,1.97652274462175,12.6299256407926,8cell,77.2502543386439,0,0
38,RLTR1B,2.22145807677169,12.28349693859,8cell,76.9968904403016,0,0
39,PB1D11,0.853130888527477,14.8191897435204,8cell,71.2639840650709,0,0
40,PB1D10,0.432676875160838,16.7373077299794,8cell,70.4588630846402,0,0
41,RLTR4_Mm,2.71278183712687,11.3524297021963,8cell,68.0886541800907,0,0
42,ORR1A0,1.56134135428138,12.9273847896864,8cell,67.6534311666892,0,0
43,LTRIS2,1.54520229270259,12.9463973193948,8cell,67.3969947631925,0,0
44,RMER16_Mm,2.89497847407971,11.1098040690438,8cell,66.800597328343,0,0
45,ID4,0.705298515042368,15.0345539941881,8cell,63.491117930887,0,0
46,RLTR13D4,3.41745988046659,10.484351323764,8cell,63.4872828608955,0,0
47,RMER16A2,3.45467421980179,10.4266928545854,8cell,62.9087575195558,0,0
48,PB1,0.807390042350692,14.3361832141401,8cell,57.0314487830336,0,0
49,IAPEz-int,0.377204012892924,16.506604674982,8cell,56.6734805315209,0,0
50,ERVB4_2-LTR_MM,3.45853931575115,10.0869556605179,8cell,55.9830875313991,0,0
51,RLTR13G,2.07340523656589,11.5142641604572,8cell,55.0436526960069,0,0
52,MMERGLN_LTR,2.32284907108707,11.1441273485643,8cell,54.240410348585,0,0
53,ID4_,0.588540878791444,15.0740143740216,8cell,53.7118389588527,0,0
54,RLTR6_Mm,2.42473206210157,10.9754857980644,8cell,53.4046284687327,0,0
55,RLTR13C3,2.30674269839821,11.0510232489473,8cell,52.1537381122218,0,0
56,RMER16,2.31250833256237,10.9674882573935,8cell,50.7919085648975,0,0
57,ETnERV2-int,1.21993986733482,12.7642529587416,8cell,49.9532894223626,0,0
58,MLTR25A,1.11775070346896,12.9596186660254,8cell,48.9768942877147,0,0
59,RLTR13C1,2.15723871222694,11.0036286350447,8cell,47.9788531505071,0,0
60,RLTR9D,1.69389954862821,11.6583042881354,8cell,47.2710793164451,0,0
61,IAPLTR1_Mm,1.14277751199953,12.7898943407825,8cell,47.2115913758797,0,0
62,IAPEY_LTR,1.4997843975778,11.994694088074,8cell,47.0306686067539,0,0
63,ETnERV3-int,1.55759992368865,11.8769964065497,8cell,46.8908571372424,0,0
