,id,M,A,stage,zscore,p.value,fdr
1,B1_Mus2,1.36159632908003,17.3555956180203,morula,308.418332391669,0,0
2,B1_Mm,1.53097210177605,16.4802099875666,morula,255.44919024601,0,0
3,B1_Mus1,0.823745232830306,17.6840011185476,morula,209.351621853394,0,0
4,MT2_Mm,2.55780373233921,14.3117249797961,morula,200.858913482735,0,0
5,MERVL-int,1.33887834061191,15.7679854572241,morula,174.34700025123,0,0
6,RLTR13C2,3.33765256899181,12.9805431499182,morula,165.174626276623,0,0
7,RLTR45-int,2.6013941609555,13.6038878123476,morula,159.804020637275,0,0
8,PB1D9,1.14078081781278,15.8479002629418,morula,152.737352709143,0,0
9,B1_Mur4,0.906800323827381,16.4552895331794,morula,149.995292213882,0,0
10,B1_Mur3,0.998432803732577,15.7982559971555,morula,131.390435712795,0,0
11,B1_Mur2,0.900465633527317,16.0583329616567,morula,129.719090451488,0,0
12,ORR1A0,2.07061562854699,13.4551440324532,morula,120.802813374717,0,0
13,B1_Mur1,0.774649635921911,16.2855379353452,morula,120.778954671985,0,0
14,MMETn-int,1.87479983762509,13.6884857105348,morula,118.598568607697,0,0
15,RLTR13B1,2.53365208964987,12.7602273346637,morula,116.164523993295,0,0
16,MT2B,1.15177739135978,15.024862167494,morula,115.850782448615,0,0
17,ORR1A1-int,1.81053319822265,13.6896040982356,morula,114.577541572565,0,0
18,L1Md_T,0.326304875105402,18.5862417045388,morula,114.004370810284,0,0
19,RLTR13B2,3.48191498550889,11.7670084488207,morula,113.137252545004,0,0
20,PB1D7,0.895597570761358,15.6026414342005,morula,110.108539125666,0,0
21,LTRIS2,1.96984598952958,13.3066194442549,morula,109.154191022081,0,0
22,B2_Mm1t,0.889660998098299,15.453640368545,morula,103.858567215105,0,0
23,B2_Mm2,0.454293848089556,17.3022269053948,morula,100.998797082822,0,0
24,ORR1A0-int,1.93134727587464,13.0894092227236,morula,99.2559987478015,0,0
25,IAPEz-int,0.554240301236726,16.6573482982212,morula,98.3677939393111,0,0
26,RLTRETN_Mm,2.0498173251698,12.8292516496406,morula,96.2576595798886,0,0
27,MMERVK9C_I-int,1.51049737140488,13.6630873129854,morula,94.714983450256,0,0
28,ORR1A1,1.26768406143445,14.1528721924276,morula,94.2101509245346,0,0
29,B2_Mm1a,0.912659893321279,15.0817752813116,morula,93.631736149835,0,0
30,PB1D10,0.490920850140231,16.8576232088782,morula,93.4353887094247,0,0
31,ORR1A2-int,1.16417716925641,14.3112180507408,morula,91.4042895370316,0,0
32,L1Md_Gf,1.29088490709964,13.9969055499696,morula,90.8813294245902,0,0
33,MT2C_Mm,1.55816770372403,13.4252155277217,morula,89.967174638396,0,0
34,RLTR1B,2.2132609337935,12.3584497546079,morula,88.2802903568135,0,0
35,B1F,0.534187785916752,16.3988030318339,morula,86.6388988172961,0,0
36,ORR1A2,0.681612250145637,15.6894839614835,morula,86.3687621057109,0,0
37,RLTR45,1.68062369610814,13.0796724556477,morula,86.0796684863731,0,0
38,ERVB7_1-LTR_MM,2.44567663310041,11.924731185716,morula,83.9327306963854,0,0
39,B1F1,0.749004790861653,15.2549606059484,morula,81.6061924515768,0,0
40,MT2B2,1.21745781674488,13.6794621299613,morula,76.7748914958339,0,0
41,RLTR4_MM-int,1.41749411572954,13.180951921967,morula,75.1975352676999,0,0
42,RLTR9E,1.65567485422861,12.7165645402387,morula,74.7699354003054,0,0
43,B1F2,0.743727272660986,15.0179206289653,morula,74.6272171189619,0,0
44,RLTR13D4,3.08532106502781,10.8377074107825,morula,72.6428113778916,0,0
45,RLTR1B-int,1.47057849496331,12.9657529504486,morula,72.4041069820311,0,0
46,ID_B1,0.255507273247821,17.9398055096245,morula,71.0437125509236,0,0
47,RLTR13C1,2.30224913129846,11.5162350223877,morula,68.5784107631324,0,0
48,RLTR13G,2.01600955459319,11.8132257736231,morula,66.5637715447889,0,0
49,MLTR25A,1.17620688353367,13.3336407749589,morula,65.7902380354585,0,0
50,RLTR13C3,2.22675834025986,11.3168770008074,morula,61.900893332009,0,0
51,PB1D11,0.612608306607776,14.9361685306462,morula,59.7499825163565,0,0
52,RMER16_Mm,2.17987141421632,11.2576737874062,morula,59.366631159915,0,0
53,ERVB4_1C-LTR_Mm,1.81932266701325,11.741874190775,morula,58.6021207064451,0,0
54,ID4,0.547471533206157,15.1507665154806,morula,57.5283500212183,0,0
55,RMER16A2,2.69160707013843,10.4086963984949,morula,54.6166740541278,0,0
56,RMER16,2.041970259606,11.1716188874044,morula,53.9767275907948,0,0
57,ETnERV2-int,1.03477665380906,13.0797601525735,morula,53.0017160922922,0,0
58,RLTR4_Mm,2.17960228115892,10.8684280357285,morula,51.8673378770175,0,0
59,IAPLTR1_Mm,1.21241689796101,12.5516356189724,morula,51.7094876717609,0,0
60,MMERGLN_LTR,1.9948308532065,11.1104045087604,morula,51.6236005903986,0,0
61,ERVB4_2-LTR_MM,2.7871565362578,9.98687670611657,morula,48.8630189475107,0,0
62,ID4_,0.450856392630188,15.2222828378538,morula,48.5676273370494,0,0
63,RLTR13B3,1.63682789325976,11.4339779349089,morula,47.3865496457069,0,0
64,RLTR25A,1.03412951791756,12.6829054518278,morula,46.1592430335117,0,0
65,ETnERV3-int,1.19507813930005,12.2266203060267,morula,45.5385487114681,0,0
66,ETnERV-int,0.849485894725257,13.1780138593044,morula,45.0190209531085,0,0
67,RLTR6_Mm,1.93444734890234,10.7768378467358,morula,44.595027007787,0,0
68,LTRIS3,2.29455261433865,10.206671409592,morula,43.4111727180509,0,0
69,RLTR9D,1.3034994380078,11.8304984567606,morula,43.2968741235523,0,0
70,MERV1_LTR,1.47361250629561,11.3699533310592,morula,41.7250773006481,0,0
71,PB1,0.49055654227332,14.4334626988381,morula,40.1845897059106,0,0
72,ORR1A3-int,0.762685897326255,13.1575189583135,morula,40.1327671857187,0,0
73,IAPLTR2_Mm,0.930927734285252,12.5336530852227,morula,39.4572322860077,0,0
74,MMVL30-int,0.809616665321757,12.8759969844826,morula,38.6401280981527,0,0
75,RMER10B,0.714809230324439,13.2033075731974,morula,38.2154725010535,0,0
76,IAPLTR1a_Mm,0.874502770611887,12.5415295384243,morula,37.1670236669798,2.3278336910431e-302,1.46769088747328e-301
77,ORR1B1,0.306543573357796,15.5157846717019,morula,36.5669970343425,9.57458562894733e-293,5.9109768223154e-292
78,RLTR10C,0.727857651838352,12.9860271266962,morula,36.088969189387,3.37825053208774e-285,2.0430372265483e-284
79,RLTR25B,0.644212230030218,13.2621187625855,morula,35.1507907485451,1.13052690386407e-270,6.6558835598355e-270
80,RMER10A,0.493757713112,13.9457165542829,morula,34.1498609948625,1.3435162109239e-255,7.80644386608721e-255
81,ERVB4_2-I_MM,0.932996882091786,12.093182426813,morula,33.9447948182505,1.45572337084163e-252,8.40349400440397e-252
82,RLTR13D3,1.13945033727512,11.457789724899,morula,33.2607547263161,1.42706317143784e-242,8.13243050902716e-242
