,id,M,A,stage,zscore,p.value,fdr
1,MERVL-int,0.6640413723622,16.4510749003492,oocyte,115.149312956915,0,0
2,MTA_Mm,0.389535976751764,17.0265925462502,oocyte,82.5123036167274,0,0
3,B2_Mm2,0.211569015752013,18.2346723779413,oocyte,68.2935668273315,0,0
4,MTA_Mm-int,0.467190487897397,15.7196266189915,oocyte,62.8403586370535,0,0
5,ID_B1,0.1561184927725,18.6641721378561,oocyte,58.5756869764038,0,0
6,B3,0.121333400619337,19.137575639826,oocyte,53.7701697090485,0,0
7,MTB,0.369120716371163,15.6393214981707,oocyte,48.2844518274488,0,0
8,MT2_Mm,0.466228991722688,14.7238800704506,oocyte,44.3912589333344,0,0
9,MTC,0.182881644474131,17.2558330754843,oocyte,41.955856569501,0,0
10,RLTR10,0.449547921509018,14.6404077789602,oocyte,41.5815470465371,0,0
11,BGLII,0.539748250579799,14.054146477271,oocyte,40.7399390710852,0,0
12,RLTR10A,0.768100351045644,12.8550111836322,oocyte,38.2558643308142,0,0
13,RMER19B,0.251572017113314,15.8885171167099,oocyte,35.8814793667745,5.94129796386683e-282,1.82131513444055e-280
14,RLTR10-int,0.305211220929594,15.2613279545433,oocyte,35.0163271850909,1.26972513783289e-268,3.76261882511146e-267
15,B3A,0.0993937727462986,18.4435136056133,oocyte,34.5167522032429,4.49760134923348e-261,1.24948987483393e-259
16,MTB_Mm,0.305265960051394,15.1470621300981,oocyte,33.6612832511419,2.13205804439291e-248,5.74363515595544e-247
17,PB1D10,0.125905449063999,17.6473773348232,oocyte,33.106480210238,2.39761781184293e-240,5.92078398535658e-239
18,RLTR13D6,0.543391919575664,13.3560848949335,oocyte,32.1982269388132,1.86869832977761e-227,4.4899265274927e-226
19,RSINE1,0.0852048424237295,18.6708496363545,oocyte,32.0438595328717,2.67329176506571e-225,6.25409573458794e-224
20,RMER6A,0.290537173478917,15.112771712596,oocyte,31.6582814401301,5.83306261278895e-220,1.32963914429984e-218
21,LTRIS_Mus,0.543624642887002,13.2458911188687,oocyte,31.0046750330732,4.66249511806603e-211,1.01096540486846e-209
22,B1_Mus1,0.0890198183270148,18.2768427419741,oocyte,29.1622191454475,5.84777855572618e-187,1.15526114134235e-185
23,RMER2,0.362025649331537,14.2020291858031,oocyte,28.7633025566071,6.17558214613414e-182,1.19349837563332e-180
24,MTB-int,0.550286019714598,12.9892859013617,oocyte,28.713325953069,2.60126076092046e-181,4.92025705629422e-180
25,B1F,0.120769947072736,17.2253374651232,oocyte,27.4138694769385,1.87433481846315e-165,3.47142427836195e-164
26,MTC-int,0.268783092179454,14.7294727754628,oocyte,25.6414504581902,5.26631523541495e-145,9.00337354669979e-144
27,MMERVK9E_I-int,0.285688417314807,14.4354462343342,oocyte,24.6119440769101,9.41062655896863e-134,1.57849943602323e-132
28,B2_Mm1t,0.147176348209193,16.3439250841089,oocyte,24.5887016234295,1.66857172858262e-133,2.74696345687028e-132
29,B1_Mus2,0.0859906666296206,17.8085011628884,oocyte,23.9181167435018,1.98456440651731e-126,3.09522413577875e-125
30,B1_Mur4,0.109165110003609,17.0829933512668,oocyte,23.5818693503008,5.91579374088751e-123,8.91379768754067e-122
31,MTD,0.0773766890996967,18.0688348321095,oocyte,23.5701027686511,7.8109903131578e-123,1.15732839806621e-121
32,B1_Mur1,0.110487265592346,17.0176212661179,oocyte,23.3306991965968,2.16421663161965e-120,3.15407964837683e-119
33,RMER3D-int,0.289382618869675,14.1703915477527,oocyte,22.7408819956123,1.76643533737578e-114,2.49263653163027e-113
34,B1_Mur2,0.117991382097019,16.7413750687143,oocyte,22.632821698956,2.0599284142993e-113,2.81734824663397e-112
35,MMETn-int,0.277854786117516,14.2636715972781,oocyte,22.5528091828036,1.26026486996589e-112,1.69753858999951e-111
36,RMER10A,0.225491396128356,14.8070656278447,oocyte,22.0983110526686,3.28111867520932e-108,4.28958015038395e-107
37,MuRRS-int,0.36128588999138,13.4115925158574,oocyte,21.8236372189301,1.38401720152603e-105,1.78317578573426e-104
38,RLTR13B2,0.559736691245996,12.141248608364,oocyte,21.767744121882,4.69159526881822e-105,5.95832599139914e-104
39,B1_Mur3,0.125949363142497,16.4154096665894,oocyte,21.5714855265507,3.32832573247547e-103,4.16743883967703e-102
40,MTB_Mm-int,0.522932318828526,12.1701293473357,oocyte,20.5410527362371,9.25350152581575e-94,1.08241616532239e-92
41,B1_Mm,0.0918177914571168,17.0528765556511,oocyte,19.6277188036132,8.96503520516679e-86,9.83940283628799e-85
42,RLTR1C,0.417849289027895,12.6310088437601,oocyte,19.2564939465351,1.2453038154446e-82,1.28729661852355e-81
43,RMER17C,0.170715015790467,15.2092699507675,oocyte,19.2352318086509,1.87702222222537e-82,1.91801466156132e-81
44,RLTR13B1,0.358153932446693,13.0622242021207,oocyte,19.1666292607243,7.03201370547351e-82,7.1039320274613e-81
45,RMER19A,0.226685103181495,14.2613415855874,oocyte,18.3846277280307,1.74432969001973e-75,1.72301010491948e-74
46,RLTR22_Mus,0.401349448718181,12.5501879454255,oocyte,17.9851166915992,2.5485168933463e-72,2.43616292277942e-71
47,RLTR9E,0.292324578490945,13.3765138851583,oocyte,17.4445566366834,3.78645285857889e-68,3.58101765029429e-67
48,RLTRETN_Mm,0.308898639686682,13.1960622718138,oocyte,17.3157757369133,3.5766958230821e-67,3.34703430181051e-66
49,PB1D7,0.104902492173654,16.2539117098009,oocyte,16.9864595464591,1.03447898991977e-64,9.57970647956952e-64
50,MIRb,0.0723551682003975,17.3089495853478,oocyte,16.9092542527601,3.84543397770303e-64,3.48835796548775e-63
51,ERVB4_1-I_MM,0.324520073799791,12.9169504107062,oocyte,16.513779294166,2.92009732784122e-61,2.57026388559489e-60
52,LTRIS_Mm,0.377374100901195,12.4176002635362,oocyte,16.1511290854919,1.1150188236209e-58,9.53126667499017e-58
53,RLTR24,0.304429109201776,12.9380196076515,oocyte,15.6049737462652,6.73374240424571e-55,5.47056743098671e-54
54,MLTR11A,0.210399890526596,14.0035393585175,oocyte,15.6046406228429,6.7689810732119e-55,5.47056743098671e-54
55,Lx3_Mus,0.0716308204514352,17.0299436435228,oocyte,15.1906878861688,4.07619545593929e-52,3.26462861290994e-51
56,RMER10B,0.201630809997719,14.0063120643186,oocyte,14.9686520024382,1.17682415922963e-50,9.25837767747915e-50
57,ORR1A0-int,0.26114315536656,13.2487905956377,oocyte,14.9088187545524,2.88816862499742e-50,2.25226483124799e-49
58,ID4,0.0977268820659925,16.0734948812727,oocyte,14.8633594544759,5.69939855210801e-50,4.40588288071654e-49
59,RLTR14,0.219283837876172,13.7121335187968,oocyte,14.7005904542675,6.39000920972428e-49,4.85531469012384e-48
60,MIR,0.0661065426922619,17.1342955395028,oocyte,14.5376007110415,7.00035236399351e-48,5.27399428100867e-47
61,ID,0.166203587312014,14.3683499578141,oocyte,13.9890512564129,1.81821255118895e-44,1.33586029587354e-43
62,ERV3-16A3_I-int,0.316807047749518,12.4710345748767,oocyte,13.8124148177304,2.1451804939593e-43,1.55045972286977e-42
63,BGLII_Mus,0.371034006508885,12.0064242262778,oocyte,13.7704363563106,3.83887416499231e-43,2.75222510699852e-42
64,RLTR49,0.310724921259354,12.5050333568943,oocyte,13.7078408859755,9.1129451308117e-43,6.42968906451715e-42
65,RMER4B,0.13494814946056,14.8375035955405,oocyte,13.3653799877416,9.63417600888265e-41,6.58829420915129e-40
66,MT2B,0.103225429786378,15.6094244686314,oocyte,13.3634610040927,9.88585459263864e-41,6.70879750599676e-40
67,RMER5,0.112666264534804,15.3336425466135,oocyte,13.2544376372804,4.25292961191398e-40,2.86428365529661e-39
68,B2_Mm1a,0.0892215608111492,15.9145460249441,oocyte,12.8411115501198,9.64791863757661e-38,6.40074602149672e-37
69,RLTR13C2,0.231172703304726,13.1556455312997,oocyte,12.7784309217481,2.16391032715022e-37,1.42497502284189e-36
70,RLTR8,0.52007799815407,10.799913073071,oocyte,12.7054362173707,5.51609851683053e-37,3.60574380989878e-36
71,RLTR28,0.180763931021068,13.8347768199082,oocyte,12.6446607626904,1.19740240227798e-36,7.77000536952643e-36
72,MLTR11B,0.149075177281295,14.312267404065,oocyte,12.3057133277228,8.43875629745936e-35,5.39716140175638e-34
73,ID4_,0.0778103001604175,16.1588606447995,oocyte,12.1903369225316,3.49971460898439e-34,2.22231877670509e-33
74,IAPEY5_I-int,0.423922746346072,11.2125772117538,oocyte,11.9487843874438,6.58818241635201e-33,4.15382565116095e-32
75,RMER15-int,0.139483577369356,14.3985248796917,oocyte,11.8635748629682,1.82991863365501e-32,1.14563215867557e-31
76,ORR1A1-int,0.164382431341619,13.908912248055,oocyte,11.7981581143108,3.98948176616084e-32,2.48017432875313e-31
77,RLTR13D5,0.234190668567986,12.8847462203171,oocyte,11.784907935681,4.66930085061761e-32,2.88264476124935e-31
78,RMER17B,0.107704982482547,15.1118597198718,oocyte,11.7323230138189,8.70367021210278e-32,5.33625021969612e-31
