,oocyte,2cell,4cell,8cell,morula
IAPEz-int,-303.895984574898,-193.311085772594,-21.2850521844824,56.6734805315209,98.3677939393111
L1Md_F2,-66.4830686850049,-174.728885169737,-425.821157037302,-429.505858076793,-397.993253534187
B1_Mus2,23.9181167435018,216.491009306374,355.275497125493,285.420141764176,308.418332391669
B1_Mm,19.6277188036132,154.380276910236,281.430251000329,270.966580073264,255.44919024601
B1_Mus1,29.1622191454475,217.415342572562,287.735641899404,164.08319498353,209.351621853394
RLTR45-int,5.912140200866,3.46977285255998,139.104293482475,201.156898765784,159.804020637275
L1Md_T,-37.8219849418446,-54.0223231535133,121.679765484981,108.779173496117,114.004370810284
MTA_Mm,82.5123036167274,6.93335452641822,-125.006689320556,-94.9861170675384,-99.4109176331358
B4A,1.15634274264192,-11.2098920396305,-130.256099518002,-194.172809680057,-148.929146275713
B3,53.7701697090485,78.394406029049,-24.4022457243397,-138.892906891081,-41.0494476443689
L1_Mus3,-30.2241833085606,-112.860214221899,-225.319579819996,-216.865037592215,-196.848890106708
RLTR13C2,12.7784309217481,4.9758303042747,104.889169813615,152.253632467296,165.174626276623
L1Md_Gf,-8.5281411915698,-3.68945048583117,103.332509816815,158.156432714539,90.8813294245902
MTA_Mm-int,62.8403586370535,6.14543848445244,-86.3769198787472,-86.2332413190154,-96.2854370756245
PB1D9,9.40087652528362,78.4037398410776,164.973024626856,163.154783314206,152.737352709143
MT2_Mm,44.3912589333344,130.15136645147,203.332605751017,160.029782360671,200.858913482735
L1_Mus1,-30.0080429247786,-82.6393312301771,-180.125317451482,-159.898211539967,-144.071353492373
B1_Mur4,23.5818693503008,123.635101857389,178.833754533742,153.542424831791,149.995292213882
Lx3_Mus,15.1906878861688,-38.3878144829974,-124.170072006843,-118.994837230724,-100.781475509389
MMETn-int,22.5528091828036,-2.13604531185133,33.8922163684625,124.212451779921,118.598568607697
ID_B1,58.5756869764038,121.881710483223,108.617184556592,-25.3408172713867,71.0437125509236
RLTR13B1,19.1666292607243,-15.1944106267164,77.9925823913566,104.426275409549,116.164523993295
RLTR13B2,21.767744121882,11.7648386522238,113.108583895152,126.447095951273,113.137252545004
LTRIS2,-9.70835198820076,-16.0292444110782,3.14794953410062,67.3969947631925,109.154191022081
MT2C_Mm,2.94517075196322,83.0649930825627,154.25716065761,95.6769873420615,89.967174638396
MMERVK9C_I-int,-1.272629386922,-10.1204393950772,22.1718651286779,102.778861424332,94.714983450256
Lx8,6.63597831189142,-52.2265988803363,-118.893030389711,-111.071021799733,-106.061177312132
B1_Mur3,21.5714855265507,93.291816980765,146.397026692945,144.669333442031,131.390435712795
RLTR4_MM-int,-18.7150199208915,17.6170912741426,62.2119697470405,114.711805135016,75.1975352676999
MT2B,13.3634610040927,67.4680243430556,133.812821035633,132.246764087578,115.850782448615
B1_Mur2,22.632821698956,87.6386937265856,147.577885218954,137.249536164364,129.719090451488
MTB,48.2844518274488,14.8975776670099,-58.6943960046278,-53.7028475971984,-60.5567613095948
IAPLTR1_Mm,-60.1066875817592,-18.6828611275174,44.791007497265,47.2115913758797,51.7094876717609
ORR1A2-int,-0.130806141405307,57.7979561826607,123.54692334044,107.001201438869,91.4042895370316
Lx,-34.7190571786625,-72.6743798161355,-150.85843458718,-137.139715694353,-124.804658425149
IAPLTR1a_Mm,-81.733766700702,-39.7118179466136,2.90331748494193,7.53643108863782,37.1670236669798
ORR1A0,-4.29179786167341,32.0034753312832,56.8424052819514,67.6534311666892,120.802813374717
PB1D7,16.9864595464591,51.7885664099573,113.964527215168,120.905723810799,110.108539125666
RLTR6-int,-99.0910549928172,-43.2858570146704,-17.1875085702128,12.587683467661,8.68417561876486
MTD,23.5701027686511,-18.4420489508232,-87.8359042700634,-72.4075458045353,-64.1824287946701
B1_Mur1,23.3306991965968,85.255233688919,135.62291993448,123.381104263811,120.778954671985
IAPLTR2_Mm,-57.0810661326002,-28.144980589466,34.9614210054891,38.7080682174214,39.4572322860077
RLTR45,-2.85733333404392,8.59563775960289,86.5292316897714,82.2781251759691,86.0796684863731
L1_Mus2,-19.7418916453964,-82.5706712643472,-135.613545799628,-116.338125875067,-108.52709112061
ORR1A1-int,11.7981581143108,84.8769147511855,118.35482087316,108.637410456408,114.577541572565
RSINE1,32.0438595328717,38.6947043871766,17.9370269186541,-70.2723600655658,-1.92696293030403
MT2B2,8.79279853769748,54.3794038352347,122.847411875055,95.0294451841324,76.7748914958339
RLTR1B,0.526472492439715,-2.59473135895424,50.024337734586,76.9968904403016,88.2802903568135
Lx2,-31.6084639718148,-62.3170073008911,-124.845442432834,-126.47613631311,-103.691602376219
ERVB7_1-LTR_MM,0.28039450087986,27.1775139478926,77.1882417743483,96.3432277959892,83.9327306963854
L1Md_A,-43.0665692175209,-120.446477851794,-38.5934859533213,-23.5147450792811,-93.048979506382
Lx3A,-14.7883935613979,-43.3623775877407,-96.4713229939523,-110.874101730998,-91.1723505326126
Lx5,-25.8574159048869,-52.836109290543,-110.014593660868,-115.692507447096,-105.801653136377
MERVL-int,115.149312956915,209.472688978317,196.681109779829,139.868938841584,174.34700025123
MMERVK10C-int,-81.153808980114,-103.359360015474,-41.8593034459634,-28.1169853655665,-9.934320331811
Lx9,-9.97024901683464,-90.4942781317149,-99.2402771311088,-101.103935539996,-89.5137324564421
B2_Mm1a,12.8411115501198,73.7701435823373,93.8947600420386,105.678126798874,93.631736149835
MTB_Mm,33.6612832511419,7.05727961187995,-44.0341422318666,-41.4568404526045,-46.6934823099105
RLTR1B-int,9.21523212272521,10.3940983373589,27.692919488417,86.6489078712162,72.4041069820311
B2_Mm1t,24.5887016234295,81.4502484464004,108.343179919376,109.24383221382,103.858567215105
ORR1A1,-2.31374843495895,25.7730888706465,35.4310160674667,42.9401355722055,94.2101509245346
RLTR10-int,35.0163271850909,-46.7599002860727,-16.2589298987805,35.8972840641427,3.40488315968893
RLTRETN_Mm,17.3157757369133,44.2166116552472,72.2515387530762,98.1904900019384,96.2576595798886
B2_Mm2,68.2935668273315,125.254522447417,120.300170641242,44.1951369045084,100.998797082822
RLTR13D4,3.15336235669553,-3.81113105107924,27.4426682873443,63.4872828608955,72.6428113778916
B1F1,11.6024434148392,44.086631335959,85.6482018985497,90.1812889932808,81.6061924515768
RMER6A,31.6582814401301,85.1902025088635,102.458770221217,80.6095321594637,28.7936617958741
Lx7,-11.2763615572748,-82.0632624882273,-96.6395360853981,-78.8474656637251,-78.3174334507824
MTC,41.955856569501,-2.12420590040014,-44.4595101535104,-21.4213939516847,-22.47919931866
ORR1A0-int,14.9088187545524,83.0992258256668,77.2892702245227,80.7332811827156,99.2559987478015
Lx3C,-16.0441461219087,-28.8145684097974,-75.6077523609561,-90.0330216527515,-74.2660121401265
RLTR13C1,-0.144128216110949,-5.93567291528335,11.1902666230135,47.9788531505071,68.5784107631324
Lx3B,-16.6011156276579,-26.7328157551824,-75.5690855159721,-86.3814671401318,-77.1583162523199
L1_Mus4,-39.3157437297994,-59.999559842965,-99.2872014506351,-118.839289694502,-95.8486880431357
B1F2,9.53790718444325,47.174163693111,82.0710077989798,87.1133526676203,74.6272171189619
RLTR13G,5.24574508310043,-1.4294252652287,4.59968506100475,55.0436526960069,66.5637715447889
ETnERV3-int,-14.9764098558076,-20.2838065461057,19.3033345357053,46.8908571372424,45.5385487114681
L1Md_F,-65.3116246691433,-69.0274227806648,-20.9156154715899,-10.5164237697912,-2.6759746882407
ERVB4_1C-LTR_Mm,-4.0836603424006,-13.7006593701725,0.379230148894355,36.4917342272079,58.6021207064451
B3A,34.5167522032429,30.0131911270293,-1.39436704226639,-41.4763188647148,-2.76029611919993
PB1D10,33.106480210238,62.7348749636726,112.949560607642,70.4588630846402,93.4353887094247
